NtsbNo;EventDate;City;State;HighestInjuryLevel;FatalInjuryCount;SeriousInjuryCount;MinorInjuryCount;OnboardInjuryCount;OnGroundInjuryCount;Latitude;Longitude;Make;Model;AirCraftCategory;EngineType;AirCraftDamage;WeatherCondition;Operator;BroadPhaseofFlight;Year;Month;Quarter;YearMonth;TotalInjuries;OperationSegment
ERA24LA084;2023-12-31 15:13:00+00:00;Midland;Virginia;None;0,0;0,0;0,0;0,0;0,0;38,586285;-77,710631;GOLDEN AVIO S R L;F30 Brio;AIR;REC;Substantial;VMC;;Landing;2023;12;4;2023-12;0,0;Personal
ERA24LA079;2023-12-30 15:04:00+00:00;Daytona Beach;Florida;None;0,0;0,0;0,0;0,0;0,0;29,163165;-81,07824;ROBINSON HELICOPTER, DJI;R44, MAVIC 2;HELI, UNMANNED;REC;Substantial, Destroyed;VMC;Tunica Helicopters LLC;Approach;2023;12;4;2023-12;0,0;Aerial Work
CEN24LA081;2023-12-29 15:27:00+00:00;Beaumont;Texas;None;0,0;0,0;0,0;0,0;0,0;30,070603;-94,215837;MAULE;M-6-235;AIR;REC;Substantial;VMC;TAF AERIAL SERVICES LLC;Landing;2023;12;4;2023-12;0,0;Aerial Work
WPR24LA062;2023-12-28 10:57:00+00:00;Lake Havasu;California;Minor;0,0;0,0;1,0;1,0;0,0;34,51109;-114,38233;PROGRESSIVE AERODYNE;SEAREY LSA;AIR;REC;Substantial;VMC;;Landing;2023;12;4;2023-12;1,0;Commercial Non-Scheduled
WPR24LA061;2023-12-26 13:21:00+00:00;Prescott;Arizona;None;0,0;0,0;0,0;0,0;0,0;34,65483;-112,41922;GLASAIR;SH2;AIR;REC;Substantial;VMC;;Landing;2023;12;4;2023-12;0,0;Commercial Non-Scheduled
CEN24LA074;2023-12-26 12:15:00+00:00;Ponca City;Oklahoma;None;0,0;0,0;0,0;0,0;0,0;36,731955;-97,099782;PIPER;PA-34-200T;AIR;REC;Substantial;VMC;;Landing;2023;12;4;2023-12;0,0;Commercial Non-Scheduled
ANC24LA009;2023-12-26 11:49:00+00:00;Palmer;Alaska;Minor;0,0;0,0;3,0;3,0;0,0;61,252209;-148,53131;AIRBUS HELICOPTERS;AS350B3;HELI;TS;Substantial;VMC;Alpha Aviation LLC;Landing;2023;12;4;2023-12;3,0;Commercial Non-Scheduled
CEN24LA078;2023-12-23 17:30:00+00:00;Gulfport;Mississippi;Minor;0,0;0,0;1,0;1,0;0,0;30,407291;-89,072842;CESSNA;210M;AIR;REC;Substantial;VMC;;Landing;2023;12;4;2023-12;1,0;Personal
WPR24LA069;2023-12-23 09:25:00+00:00;Whitefish;Montana;None;0,0;0,0;0,0;0,0;0,0;48,40802;-114,29957;TAYLORCRAFT;BC12-D;AIR;REC;Substantial;VMC;;Landing;2023;12;4;2023-12;0,0;Personal
DCA24LA051;2023-12-19 18:30:00+00:00;St. Louis;Missouri;None;0,0;0,0;0,0;0,0;0,0;38,747222;-90,361389;BOEING;737;AIR;TF;Substantial;VMC;SOUTHWEST AIRLINES CO;Enroute;2023;12;4;2023-12;0,0;Commercial Scheduled
CEN24LA072;2023-12-19 10:05:00+00:00;Red Lake;Minnesota;None;0,0;0,0;0,0;0,0;0,0;47,929656;-95,032922;CESSNA;172M;AIR;REC;Substantial;VMC;;Landing;2023;12;4;2023-12;0,0;Personal
ERA24LA068;2023-12-18 18:35:00+00:00;Pahokee;Florida;Minor;0,0;0,0;2,0;2,0;0,0;26,784113;-80,693201;CIRRUS DESIGN;SR20;AIR;REC;Substantial;VMC;SkyBlue Aviation;Approach;2023;12;4;2023-12;2,0;Instructional
CEN24LA069;2023-12-18 18:30:00+00:00;Texarkana;Arkansas;Minor;0,0;0,0;2,0;2,0;0,0;33,453611;-93,990833;AERO COMMANDER;100;AIR;REC;Substantial;VMC;;Approach;2023;12;4;2023-12;2,0;Commercial Non-Scheduled
CEN24LA068;2023-12-18 15:20:00+00:00;Forney;Texas;Minor;0,0;0,0;1,0;1,0;0,0;32,75467;-96,46528;PIPER;PA-23-250;AIR;REC;Substantial;VMC;PACIFIC FLEET AVIATION LLC;Approach;2023;12;4;2023-12;1,0;Aerial Work
CEN24LA071;2023-12-17 11:46:00+00:00;Stephenville;Texas;None;0,0;0,0;0,0;0,0;0,0;32,23063;-98,173341;CESSNA;172N;AIR;REC;Substantial;VMC;Optima Aviation LLC DBA N4501E;Landing;2023;12;4;2023-12;0,0;Commercial Non-Scheduled
ERA24LA083;2023-12-16 11:37:00+00:00;Tuscumbia;Alabama;None;0,0;0,0;0,0;0,0;0,0;34,710658;-87,725081;RABE RICHARD;EXEC 162F;HELI;REC;Substantial;Unknown;;Maneuvering;2023;12;4;2023-12;0,0;Personal
ERA24LA085;2023-12-15 21:33:00+00:00;Griffin;Georgia;None;0,0;0,0;0,0;0,0;0,0;33,275449;-84,41274;BEECH;58;AIR;REC;Substantial;VMC;;Landing;2023;12;4;2023-12;0,0;Personal
ERA24LA064;2023-12-12 16:44:00+00:00;Sidney;Ohio;None;0,0;0,0;0,0;0,0;0,0;40,241278;-84,147861;BEECH;A36;AIR;REC;Substantial;VMC;;Landing;2023;12;4;2023-12;0,0;Personal
CEN24LA062;2023-12-12 13:30:00+00:00;New Orleans;Louisiana;None;0,0;0,0;0,0;0,0;0,0;30,041674;-90,026183;CESSNA;340A;AIR;REC;Substantial;VMC;;Landing;2023;12;4;2023-12;0,0;Personal
ANC24LA010;2023-12-11 15:00:00+00:00;Kapolei;Hawaii;None;0,0;0,0;0,0;0,0;0,0;21,3103;-158,0713;CESSNA;172;AIR;REC;Substantial;VMC;;Landing;2023;12;4;2023-12;0,0;Personal
